Source (EN)	Baseline (GE)	Finetuned (GE)	Reference (GE)
The people around us are not perfect. People do things that annoy, disappoint, and anger. In this mortal life it will always be that way.	ადამიანები, რომლებიც ჩვენ გარშემო არიან, არ არიან სრულყოფილები. ადამიანები აკეთებენ რაღაცებს, რომლებიც გაღიზიანებს, იმედგაცრუებს და გაბრაზებას. ამ სიკვდილიან ცხოვრებაში ასე იქნება ყოველთვის.	ადამიანები, რომლებიც ჩვენთან არიან, არ არიან სრულყოფილნი. ადამიანები აკეთებენ რაღაცებს, რომლებიც გაღიზიანებს, იმედგაცრუებს და გაბრაზებას. ამ მიწიერი ცხოვრებაში ასე იქნება ყოველთვის.	ჩვენს ირგვლივ მყოფნიც არ არიან სრულყოფილნი. 19 ადამიანები სჩადიან გამაღიზიანებელ, გულდასაწყვეტ, გასაბრაზებელ საქციელს. ამ მიწიერ ცხოვრებაში სულ ასე იქნება.
Nevertheless, we must let go of our grievances. Part of the purpose of mortality is to learn how to let go of such things. That is the Lord’s way.	აჱ ჟრწჳჳჳ, ვწჳჳჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვვ, ვწჳ, ვ, ვწჳ, ვ, ვ, ვწჳ, ვ, ვ, ვ, ვ, ვ, ვ, 	მიუხედავად ამისა, ჩვენ უნდა დავუშვათ ჩვენი საჩივრები. სიკვდილის მიზანი არის ისწავლოს, როგორ დავუშვათ ეს. ეს არის უფლის გზა.	მიუხედავად ყველაფრისა, უნდა მოვიცილოთ წყენა. მიწიერი ცხოვრების შემადგენელი ნაწილია შევიძინოთ ცოდნა იმაზე, თუ როგორ მოვიცილოთ ასეთი გრძნობები. ეს უფლის გზაა.
Remember, heaven is filled with those who have this in common: They are forgiven. And they forgive.	გახსოვდეთ, რომ ცა აღსავსეა მათგან, ვისაც ეს საერთო აქვს. მათ პატიება აქვთ და პატიებასაც.	გახსოვდეთ, რომ ზეცა სავსეა მათგან, ვისაც ეს საერთო აქვს. მათ პატიება აქვთ და ისინი პატიობენ.	გახსოვდეთ, რომ ზეცაში მყოფებს ერთი რამ აქვთ საერთო: ისინი მიტევებულნი არიან. მათ სხვებს მიუტევეს.
Lay your burden at the Savior’s feet. Let go of judgment. Allow Christ’s Atonement to change and heal your heart. Love one another. Forgive one another.	და აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, აწ, ა	დაუსენით მაცხოვრის ფეხთა ზედა თქვენი ტვირთანი, და ნუ განწყობთ, და მოუწიეთ ქრისტეს მიერ განკურნებას, რათა მოინანიოთ გულითანი. გიყვარდეთ ერთმანეთი და მიუტევოთ ერთმანეთი.	დადეთ თქვენი ტვირთი უფლის ფერხთით. არ განიკითხოთ. მიეცით ქრისტეს გამოსყიდვის ძალას ნება განგკურნოთ და შეგიცვალოთ გული. გიყვარდეთ ერთმანეთი. მიუტევეთ ერთმანეთს.
The merciful will obtain mercy.	და მიწყალნი იპოვიან წყალობას.	და მიწიერი მოწყალე იქნება.	მოწყალენი მოწყალებას მოიპოვებენ.
Of this I testify in the name of the One who loved so well and so completely that He gave His life for us, His friends—in the sacred name of Jesus Christ, amen.	ამის შესახებ მე ვმტკიცებ იმ ადამიანის სახელით, რომელმაც ისე კარგად და სრულად მოაყვარო, რომ თავისი სიცოცხლე ჩვენთვის, მის მეგობრებს, იესო ქრისტეს წმინდა სახელით გადასცა. ამენ.	ამის ჩვენება მე ვაკეთებ იმისთვის, ვინც ასე კარგად და სრულად გვიყვარდა, რომ მან თავისი სიცოცხლე ჩაიცა ჩვენთვის, მის მეგობრებს, იესო ქრისტეს წმინდა სახელით, ამენ.	მე ვამოწმებ ამას იმის წმინდა სახელით, რომელმაც ისე შეგვიყვარა, რომ სიცოცხლე დათმო ჩვენთვის, მისი მეგობრებისთვის. იესო ქრისტეს წმინდა სახელით, ამინ.
Just a few months before the death of the Prophet Joseph Smith, he met with the Twelve Apostles to talk about the greatest needs the Church was facing in that very difficult time. He told them, “We need the temple more than anything else.” Surely, today in these trying times, each of us and our families need the temple more than anything else.	მხოლოდ რამდენიმე თვის წინ წინასწარმეტყველი ჯოზეფ სმიტის სიკვდილამდე, მან თორმეტი მოციქული შეხვდა, რათა ისაუბრა იმ უდიდესი საჭიროებების შესახებ, რომელსაც ეკლესია იმ ძალიან რთულ დროს განიცდიდა. მან უთხრა მათ: ჩვენ გვჭირდება ტაძარი უფრო, ვიდრე სხვა რამ. დღეს, ამ განსაცდელში, ჩვენ თითოეულმა ჩვენგანმა და ჩვენი ოჯახმა გვჭირდება ტაძარი უფრო, ვიდრე სხვა რამ.	წინასწარმეტყველ ჯოზეფ სმითის გარდაცვალებამდე სულ რამდენიმე თვის წინ იგი თორმეტ მოციქულთან შეხვდა და იმ უდიდესი საჭიროებების შესახებ ისაუბრა, რომლებთანაც ეკლესია იმ რთულ დროს იწვა. მან უთხრა მათ: ჩვენ ტაძარი სხვაგანზე მეტად გვჭირდება. რა თქმა უნდა, დღეს, ამ განსაცდელში, ჩვენ თითოეულს და ჩვენს ოჯახს ტაძარი სხვაგანზე მეტად გვჭირდება.	წინასწარმეტყველი ჯოზეფ სმითი, სიკვდილამდე სულ რამდენიმე თვის წინ, შეხვდა თორმეტ მოციქულს, რათა ესაუბრა მათთან იმ რთულ დროში არსებული ეკლესიის ყველაზე დიდ საჭიროების შესახებ. მან თქვა: „ჩვენ ყველაზე მეტად გვჭირდება ტაძარი“. 1 რა თქმა უნდა, დღეს, ამ მძიმე დროს, ყოველ ჩვენგანს და ჩვენს ოჯახებს ყველაზე მეტად სჭირდებათ ტაძარი.
During a recent temple dedication, I was thrilled with the entire experience. I loved the open house, greeting many of the visitors who came to see the temple; the cultural celebration with the vibrancy and excitement of the youth; followed by the wonderful dedicatory sessions. The Spirit was sweet. Many people were blessed. And then the next morning, my wife and I entered the baptismal font to participate in baptisms for some of our own ancestors. As I raised my arm to begin the ordinance, I was nearly overcome by the power of the Spirit. I realized again that the real power of the temple is in the ordinances.	ახლახან ტაძრის დათმობისას, მთელი გამოცდილება ძალიან მომეწონა. ძალიან მომეწონა ღია სახლი, მივესალმა ბევრი სტუმარი, რომლებიც ტაძრის სანახავად მოდიოდნენ; ახალგაზრდების მხიარულობითა და აღფრთოვანებით კულტურული ზეიმი; შემდეგ საოცარი დათმობის სესიები. სული ტკბილი იყო. ბევრი ადამიანი იყო კურთხეული. შემდეგ მეორე დილით მე და ჩემი მეუღლე ჩავიდეთ ნათლისღების ფონტში, რათა მონაწილეობა მივიღოთ ნათლისღებაში ჩვენი წინაპრებისათვის. როდესაც ხელები ავწიე, რომ დავიწყოთ წესდება, თითქმის სულიერმა ძალამ გამომიძლია. კიდევ ერთხელ მივხვდი, რომ ტაძრის ნამდვილი ძალა წესდებაშია.	ახლახან ტაძრის მიძღვნის დროს მე მთელი გამოცდილება ძალიან მომეწონა. ძალიან მომეწონა ღია კარები, მრავალი სტუმრის მილოცვა, რომლებიც ტაძრის სანახავად მოდიოდნენ; ახალგაზრდების მხიარულებითა და აღფრთოვანებით ჩატარებული კულტურული ზეიმი; შემდეგ შესანიშნავი მიძღვნის სესიები. სული ტკბილი იყო. მრავალი ადამიანი დალოცა. მეორე დილით მე და ჩემი მეუღლე ნათლობის წყაროში შევედით, რათა ჩვენი წინაპრების ნათლობისას მივიღეთ მონაწილეობა. როცა წირვა დავიწყე, ხელის გაწევნით სულიწმინდის ძალა თითქმის გამომიძლია. მე კიდევ ერთხელ მივხვდი, რომ ტაძრის ნამდვილი ძალა წირვაშია.	არც თუ ისე დიდი ხნის წინ ჩატარებულ ტაძრის მიძღვნის ცერემონიისას, მე ძალიან ვღელავდი ამ მთლიანი მოვლენის გამო. მე მომწონდა ღია კარის დღე, ტაძრის სანახავად მოსულ მნახველთა მისალმება; კულტურულ ზეიმს თან ახლდა ახალგაზრდების მღელვარება და ემოციები, რასაც შესანიშნავი მიძღვნის სესიები მოჰყვა. ტკბილი სულიერი განწყობა იყო. მრავალი ადამიანი დაილოცა. მომდევნო დილით მე და ჩემი მეუღლე ჩავედით ნათლობის ემბაზში გარდაცვლილი წინაპრებისთვის ნათლობის ჩასატარებლად. როცა წეს-ჩვეულების ჩასატარებლად ხელი ავწიე, სულიწმინდის ძალამ თითქმის დამძლია. მე კვლავ გავიაზრე, რომ ტაძრის ნამდვილი ძალა წეს-ჩვეულებებშია.
As the Lord has revealed, the fulness of the Melchizedek Priesthood is found in the temple and its ordinances, “for therein are the keys of the holy priesthood ordained, that you may receive honor and glory.” “Therefore, in the ordinances thereof, the power of godliness is manifest.” This promise is for you and for your family.	როგორც უფალმა გამოავლინა, მელქისედეკის მღვდელმთავრობის სრულობა ტაძარში და მის წესებშია ნაპოვნი, რადგან მასშია წმინდა მღვდელმთავრობის გასაღები დადგენილი, რათა მიიღოთ პატივი და დიდება. ამიტომ, მისი წესებში, ღვთისმსახურების ძალა გამოჩნდება. ეს აღთქმა თქვენთვის და თქვენი ოჯახისთვისაა.	როგორც უფალმა გამოავლინა, მელქისედეკთა მღვდლობის სისრულე ტაძარშია და მისი წეს-ჩვეულებებში, რადგან მასში არის წმინდა მღვდლობის გასაღები, რათა მიიღოთ პატივი და დიდება. ამიტომ, მისი წეს-ჩვეულებებში გამოჩნდება ღვთისმოყვარეობის ძალა. ეს დაპირება თქვენთვის და თქვენი ოჯახისთვის.	როგორც უფალმა განაცხადა, მელქიცედეკის მღვდლობის სისრულე მოიპოვება ტაძარსა და მის წეს-ჩვეულებებში, „რადგან იქ, დიდებისა და პატივისცემის მისაღები, წმინდა მღვდლობის გასაღებები გეძლევათ. 2 „ასე რომ, ამ წეს-ჩვეულებებში ღვთაების?? ძალა მჟღავნდება“3. ეს დაპირება თქვენ და თქვენს ოჯახებს ეძლევა.
Our responsibility is to “receive” that which our Father offers. “For unto him that receiveth it shall be given more abundantly, even power”: power to receive all that He can and will give us—now and eternally; power to become sons and daughters of God, to know “the powers of heaven,” to speak in His name, and to receive “the power of [His] Spirit.” These powers become available personally to each one of us through the ordinances and the covenants of the temple.	ჩვენი პასუხისმგებლობაა, რომ მივიღოთ ის, რასაც ჩვენი მამა გვთავაზობს. რადგან მას, ვინც მას მიიღებს, უფრო უხვად მიეცემა, ძალაუფლებაც კი: ძალაუფლება მიიღოს ყველაფერი, რაც შეუძლია და მოგვცემს ჩვენ ახლა და სამუდამოდ; ძალაუფლება გახდეს ღვთის შვილები და ქალიშვილები, ვიცოდეთ ზეცის ძალაუფლება, ვლაპარაკოთ მისი სახელით და მივიღოთ მისი სულიერების ძალა. ეს ძალაუფლება თითოეულ ჩვენგანს პირადად ხელმისაწვდომი ხდება ტაძრის წესებისა და შეთანხმებების მეშვეობით.	ჩვენი პასუხისმგებლობაა მიღოთ ის, რასაც მამაჩემი გვთავაზობს. რადგან მას, ვინც მას მიიღებს, უფრო უხვად მიეცემა ძალა: ძალა მიიღოს ყველაფერი, რაც მას შეუძლია და მოგვცემს ახლა და მარადის; ძალა გახდეს ღვთის შვილები და ქალიშვილები, ვიცოდეთ სიმაღლეები ზეცაში, ვსაუბრობდეთ მისი სახელით და მივიღოთ სიმაღლე [მისისა] სულის. ეს ძალაუფლება ხელმისაწვდომი ხდება თითოეულ ჩვენგანისთვის წეს-ჩვეულებების და ტაძრის აღთქმის მეშვეობით.	ჩვენი ვალდებულებაა „მივიღოთ“ ის, რასაც მამაზეციერი გვთავაზობს. 4 „რამეთუ მას, ვინც იღებს, კიდევ უფრო მეტი მიეცემა, ძალაც კი“5ყველაფრის მიღების ძალა, რისი მიცემაც შეუძლია და მოგვცემს, აწ და მარადის“6; ძალა - გავხდეთ ღვთის ვაჟები და ასულნი7, შევიცნოთ „ზეციური ძალა“8; ძალა - ვილაპარაკოთ მისი სახელით 9 და მივიღოთ [მისი] სულის ძალა“10. ყოველი ეს ძალა, ტაძრის წეს-ჩვეულებებისა და აღთქმების მეშვეობით, ხელმისაწვდომია პირადად თითიოეული ჩვენგანისთვის.
Nephi saw our day in his great vision: “I, Nephi, beheld the power of the Lamb of God, that it descended upon the saints of the church of the Lamb, and upon the covenant people of the Lord, who were scattered upon all the face of the earth; and they were armed with righteousness and with the power of God in great glory.”	ნეფი იხილა ჩვენი დღე თავისი დიდი ხედვისაგან: მე, ნეფი, დავინახე ღვთის ცხვრის ძალა, რომ იგი დადიოდა ცხვრის ეკლესიის წმინდანებზე და უფლის აღთქმულ ხალხზე, რომლებიც მთელ დედამიწაზე იყვნენ გაფანტულნი. ისინი შეიარაღებულები იყვნენ სიმართლით და ღვთის ძალით დიდ დიდებით.	ნეფისმა თავისი დიდი ხილვაში იხილა ჩვენი დღე: მე, ნეფემ, დავინახე ღვთის კრავის ძალა, რომ იგი ჩამოდიოდა კრავის წმინდანებზე და უფლის აღთქმის ხალხზე, რომლებიც მთელ დედამიწაზე იყო გაფანტული და ისინი შეიარაღებულნი იყვნენ სიმართლესთან და დიდ დიდებაში ღვთის ძალასთან.	ნეფიმ იხილა ჩვენი დრო დიად ხილვაში: „ მე, ნეფიმ, ვიხილე ღვთის კრავის ძალა, რომელიც ჩამოდიოდა წმინდანებზე კრავის ეკლესიაში, ასევე უფლის აღთქმულ ხალხზედ , რომელიც გაფანტული იყო დედამიწის მთელ პირზე; და ისინი შეიარაღებულნი იყვნენ სამართლიანობითა და ღვთის ძალით მის დიად დიდებაში“. 11
I had the privilege recently of being in a temple open house with President Russell M. Nelson and his family as he gathered them around the sealing altar and explained to them that everything we do in the Church—every meeting, activity, lesson, and service—is to prepare each of us to come to the temple and kneel at the altar to receive all the Father’s promised blessings for eternity.	ცოტა ხნის წინ გამიჩნდა პატივი, რომ ტაძრის ღია კარში პრეზიდენტთან, რასელ ნელსონთან და მის ოჯახთან ერთად ვიყავი, როდესაც ის მათ დახურვის ალტერის გარშემო შეკრიბა და განმარტა, რომ ყველაფერი, რასაც ჩვენ ეკლესიაში ვაკეთებთ, ყოველი შეხვედრა, აქტივობა, გაკვეთილი და მსახურება, არის იმისათვის, რომ თითოეული ჩვენგანი მომზადდეს ტაძარში მოსასვლელად და ალტერთან მუხლებზე და მივიღოთ მამა ლის მიერ აღთქმაული ყველა ლოცვა სამუდამოდ.	ცოტა ხნის წინ მე მქონდა პრივილეგია, ვიყო ტაძრის ღია კარში პრეზიდენტ რასელ მ. ნელსონთან და მის ოჯახთან ერთად, როცა მან ისინი დამარგო დამარგვის ალტერის გარშემო და განმარტა, რომ ყველაფერი, რასაც ჩვენ ეკლესიაში ვაკეთებთ - ყოველი შეხვედრა, აქტივობა, გაკვეთილი და მსახურება - არის იმისათვის, რომ თითოეული ჩვენგანი მოვემზადოთ ტაძარში მოსასვლელად და ალტერთან მუხლებზე დაჯდომა, რათა მიიღოთ მამის მიერ აღთქმა დალოცულმა კურთხევამ მარადიულობისთვის.	მე მქონდა უპირატესობა არც თუ ისე დიდი ხნის წინ ვყოფილიყავი ტაძრის ღია კარის დღეზე პრეზიდენტ რასელ მ. ნელსონთან და მის ოჯახთან ერთად, როცა მან შეკრიბა ისინი ჩაბეჭდვის საკურთხეველთან და აუხსნა მათ, რომ ყველაფერი, რასაც ვაკეთებთ ეკლესიაში - ყოველი შეკრება, ღონისძიება, გაკვეთილი ან მსახურება, კეთდება თითეული ჩვენგანის ტაძარში შესვლის და საკურთხეველთან მუხლის მოყრის მიზნით, მამაზეციერის მიერ დაპირებული მარადიული კურთხევების მისაღებად. 12
As we feel the blessings of the temple in our own lives, our hearts turn to our families, both living and dead.	როცა ჩვენ ვგრძნობთ ტაძრის კურთხევას ჩვენს ცხოვრებაში, ჩვენი გული მიდის ჩვენს ოჯახებს, როგორც ცოცხლებს, ასევე მკვდრებს.	როცა ჩვენ ვგრძნობთ ტაძრის კურთხევას ჩვენს ცხოვრებაში, ჩვენი გულები მიდის ჩვენს ოჯახებს, ცოცხლებსა და მკვდრებს.	როცა ყოველდღიურ ცხოვრებაში ვგრძნობთ ტაძრისგან კურთხევებს, გული ოჯახისკენ ტრიალდება, მისი ცოცხალი და გარდაცვლილი წევრებისკენ.
Recently, I witnessed a three-generation family participate in baptisms together for their ancestors. Even the grandmother participated—though she had some trepidation about going under the water herself. As she emerged from the water and hugged her husband, she had tears of joy. The grandfather and father then baptized each other and many of the grandchildren. What greater joy could a family experience together? Each temple has a family priority time to allow you as a family to schedule time in the baptistry.	ახლახან ვნახე, რომ სამი თაობის ოჯახი ერთად მონაწილეობდა ნათლისღებაში მათი წინაპრების სახელით. ბებიამაც კი მონაწილეობა მიიღო, თუმცა თვითონაც ეშინოდა, რომ წყალქვეშ წასულიყო. როდესაც წყლიდან გამოვიდა და ქმრის ხელში ჩაიკრა, სიხარულის ცრემლები გააჩინა. ბაბუა და მამა ერთმანეთს და ბევრ შვილიშვილს ნათლისღებდნენ. რა უფრო დიდი სიხარული შეიძლება ოჯახმა ერთად განიცადოს? თითოეულ ტაძარში ოჯახის პრიორიტეტული დროა, რათა ოჯახის წევრებმა ნათლისღებაში დრო დაგეგმონ.	ცოტა ხნის წინ მე შევნიშნე, რომ სამი თაობის ოჯახი ერთობლივად იღებდა მონაწილეობას წინაპრების ნათლობის მიღებაში. ბებიამაც კი მიიღო მონაწილეობა, თუმცა თვითონ გარკვეული შეშფოთება ჰქონდა წყალქვეშ წასვლის გამო. როცა წყლიდან გამოვიდა და ქმრის ხელში ჩაიკრა, იგი სიხარულით ტიროდა. ბებია და მამა ერთმანეთს და მრავალ შვილიშვილს მოათმობდნენ. რა უფრო დიდი სიხარული შეიძლება ოჯახში ერთად აღვიქვას? თითოეულ ტაძარში ოჯახის პრიორიტეტული დროა, რომელიც საშუალებას აძლევს, ოჯახის წევრებმა დანიშნონ ნათლობის დრო.	ახლახან მე გავხდი მოწმე მოვლენისა, როცა სამი თაობა ერთად მონაწილეობდა ნათლობაში წინაპართათვის. ბებიაც კი იღებდა მონაწილეობას, მიუხედავად იმისა, რომ ჰქონდა გარკვეული შიში წყლის ქვეშ დამოუკიდებლად ჩასვლისა. როცა იგი წყლიდან ამოვიდა და ქმარს ჩაეხუტა, მას სიხარულის ცრემლი ედგა თვალზე. შემდეგ პაპამ და მამამ ერთმანეთი მონათლეს, ასევე მრავალი შვილიშვილიც. ამაზე დიდი სიხარული რა უნდა გამოეცადა ოჯახს? ყოველი ტაძარი აძლევს ოჯახს უპირატესობას, შეარჩიოს მისთვის სასურველი დრო ნათლობისთვის.
Shortly before his death, President Joseph F. Smith received the vision of the redemption of the dead. He taught that those who are in the spirit world are fully dependent upon the ordinances that we receive on their behalf. The scripture reads, “The dead who repent will be redeemed, through obedience to the ordinances of the house of God.” We receive the ordinances in their behalf, but they make and are held accountable for each covenant associated with each ordinance. Surely, the veil is thin for us and parts completely for them in the temple.	სიკვდილამდე ცოტა ხნით ადრე პრეზიდენტმა ჯოზეფ სმიტმა მიიღო ხედვა მკვდრების გამოსყიდვის შესახებ. მან ასწავლა, რომ ისინი, რომლებიც სულიერ სამყაროში არიან, სრულად დამოკიდებულნი არიან იმ წესებისგან, რომლებიც ჩვენ მათ სახელით ვიღებთ. წერილი წერს, რომ "მკვდრები, რომლებიც სინანულს განიცდიან, გამოსყიდულნი იქნებიან ღვთის სახლის წესების მორჩილებით". ჩვენ მათ სახელით ვიღებთ წესებს, მაგრამ ისინი თითოეულ წესთან დაკავშირებულ თითოეულ შეთანხმებაზე პასუხისმგებლობას იღებენ. ნამდვილად, ჩვენთვის ღრუბელი თხელია და მათთვის ტაძარში ნაწილები სრულად.	პრეზიდენტ ჯოზეფ ფ. სმითს სიკვდილამდე ცოტა ხნით ადრე მიეცა ხილვა გარდაცვლილთა გამოსყიდვაზე. მან ასწავლა, რომ ისინი, ვინც სულიერ სამყაროში არიან, მთლიანად დამოკიდებულნი არიან იმ წეს-ჩვეულებებზე, რომლებსაც ჩვენ მათთვის ვიღებთ. წმინდა წერილი წერს: მკვდარი, ვინც სინანულს განიცდის, გამოსყიდულია ღვთის სახლის წეს-ჩვეულებებზე მორჩილების მეშვეობით. ჩვენ მათთვის წეს-ჩვეულებებს ვიღებთ, მაგრამ ისინი ყოველ წეს-ჩვეულებასთან დაკავშირებულ აღთქმის გამო აგებენ პასუხს. უეჭველია, რომ ჩვენთვის ბეჭედი თხელია და მათთვის ტაძარში სრულიად ნაწილები.	გარდაცვალებამდე არც თუ ისე დიდი ხნის წინ პრეზიდენტმა ჯოზეფ ფ. სმითმა მიიღო ხილვა მკვდართა გამოსყიდვის შესახებ. მან გვასწავლა, რომ სულიერ სამყაროში მყოფნი მთლიანად დამოკიდებულნი არიან ჩვენ მიერ მათთვის ჩატარებულ წეს-ჩვეულებებზე. წმინდა წერილში წერია: „მკვდრები, რომლებიც მოინანიებენ, გამოსყიდულ იქნებიან ღვთის სახლის წეს-ჩვეულებებზე დამორჩილებით“13. ჩვენ მათთვის ვატერებთ წეს-ჩვეულებებს, მაგრამ ისინი არიან პასუხისმგებელნი ყოველი აღთქმისთვის, რომელიც უკავშირდება თითოეულ წეს-ჩვეულებას. რა თქმა უნდა, ტაძარში ფარდა ჩვენთვის თხელია, მათთვის კი მთლიანად იხსნება.
What then is our personal responsibility to be engaged in this work, both as patrons and as workers? The Prophet Joseph Smith taught the Saints in 1840 that “considerable exertion must be made, and means will be required—and as the work [to build the temple] must be hastened in righteousness, it behooves the Saints to weigh the importance of these things, in their minds, … and then take such steps as are necessary to carry them into operation; and arming themselves with courage, resolve to do all they can, and feel themselves as much interested as though the whole labor depended on themselves alone.”	რა არის ჩვენი პირადი პასუხისმგებლობა ამ საქმეში ჩართულობა, როგორც დამფარველები, ასევე მუშები? 1840 წელს წინასწარმეტყველმა ჯოზეფ სმიტმა წმინდანებს ასწავლა, რომ სამაზრო ძალისხმევა უნდა გაკეთდეს და საჭირო იქნება საშუალებებიდა რადგან სამუშაო [მასახლეს აშენებისთვის] სიმართლეში უნდა დაჩქარდეს, წმინდანებს სავალდებულოა, რომ ამ საქმეების მნიშვნელობა, თავიანთ გონებაში შეაფასონ და შემდეგ გადადგას ისეთი ნაბიჯები, რომლებიც აუცილებელია მათი ამოქმედებისთვის; და შეიარაღონ თავი მამაციით, გადაწყვიტონ ყველაფერი, რაც შეუძლიათ, და იგრძნონ საკუთარი თავი ისე დაინტერესებული, თითქოს მთელი შრომა მხოლოდ მათზეა დამოკიდებული.	რა არის ჩვენი პირადი პასუხისმგებლობა ამ საქმეში ჩართულობისთვის, როგორც დამფარველების, ასევე მუშების როლში? წინასწარმეტყველმა ჯოზეფ სმითმა წმინდანებს ასწავლა 1840 წელს, რომ უნდა გაკეთდეს მნიშვნელოვანი ძალისხმევა და საჭირო იქნება საშუალებები. რადგანაც საქმე [მასაღლის მშენებლობისთვის] სიმართლესთან დაკავშირებით უნდა დაჩქარდეს, წმინდანებს სავალდებულოა, შეაფასონ ამ საქმეების მნიშვნელობა, თავიანთ გონებაში ... შემდეგ გადადგას ისეთი ნაბიჯები, რომლებიც აუცილებელია მათი ამოქმედებისთვის; და შეიარაღონ თავდაჯერებულად, გადაწყვიტონ, გააკეთონ ყველაფერი რაც შეუძლიათ და იგრძნონ, რომ ისინი იმდენად დაინტერესებულნი არიან, თითქოს მთელი სამუშაო მხოლოდ მათზეა დამოკიდებული	მაშინ რაში მდგომარეობს ჩვენი პირადი ვალდებულება ამ სამუშაოში მონაწილეობისა, როგორც ტაძრის მსახურებისა და ტაძარში მოსიარულთათვის? წინასწარმეტყველი ჯოზეფ სმითი ასწავლიდა წმინდანებს 1840 წ. რომ „მნიშვნელოვანი ძალისხმევაა საჭირო და მოითხოვება საშუალებანი და რადგან უნდა დაჩქარდეს [ტაძრის აშენების] სამუშაო სამართლიანობაში, წმინდანებმა უნდა აწონ-დაწონონ ამის მნიშვნელობა … და შემდეგ გადადგან შესრულებისთვის საჭირო ნაბიჯები; სიმამაცით შეიარაღებულებმა, უნდა გადაწყვიტონ გააკეთონ ყველაფერი, რაც კი მათ შეუძლიათ და ისე უნდა იყვნენ დაინტერესებულნი ამ საქმით, რომ თითქოს მხოლოდ მათზეა დამოკიდებული მთელი ეს სამუშაო. 14
In the book of Revelation we read:	კთჟკვნთ ნაჲბჲჟაჲთ ვკითხჳთ:	კთჟკჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟთჟ	გამოცხადებაში წერია:
