Source (EN)	Baseline (GE)	Finetuned (GE)	Reference (GE)
“What are these which are arrayed in white robes? and whence came they?	რაჲ არიან ესე, რომელნი არიან ფრიად კაბითა, და სადაა მოვიდეს?	რაჲ არიან ესე, რომელნი არიან ფერადნი ტანსაცმელთა, და სადაა მოვიდეს?	„ეს თეთრი სამოსლით შემოსილები ვინ არიან ან საიდან მოვიდნენ“?
“… These are they which came out of great tribulation, and have washed their robes, and made them white in the blood of the Lamb.	ესე არიან იგინი, რომელნი გამოვიდეს დიდისა განსაცდლისაგან და მოირცხვინეს სამოსელი მათნი და მოთეთრნეს იგი სისხლსა ცხვრისასა.	ესე არიან იგინი, რომელნი გამოვიდეს დიდისა განსაცდლისაგან და ჴელით-კაცმენი მათნი და აცხეთრნეს იგი სისხლსა ცხვრისასა.	„… ესენი არიან დიდი გასაჭირიდან მოსულები. გაირეცხეს თავიანთი სამოსელი და გაათეთრეს ისინი კრავის სისხლით.
“Therefore are they before the throne of God, and serve him day and night in his temple: and he that sitteth on the throne shall dwell among them.”	ამისთჳს არიან წინაშე ტახტისა ღმრთისა და მსახურობენ მას დღესა და ღამესა ტაძარსა მისსა და რომელმან მჯდომი არს ტახტსა მას ზედა, და განადგუროს მათ შორის.	ამისთჳს არიან წინაშე ტახტის ღმრთისა და მსახურობენ მას დღითა და ღამით ტაძარსა მისსა და რომელი იჯდეს ტახტსა მას ზედა, და განისადგუროს მათ შორის.	„ამიტომ არიან ღვთის ტახტის წინ და ემსახურებიან მას დღე და ღამე მის ტაძარში: და ტახტხე მჯდომარე გაშლის თავის კარავს მთაზე“. 15
Can’t you just see in your mind’s eye those who serve in the temple today?	ნვ მჲზვქ ეა გთზეამ ჟრპვჟრთრვ ჟთ ნა კჲთრჲ ჟვ служат ჟა ეპთვლწ?	ვერ ხედავთ თქვენს გონებაში მათ, ვინც დღეს მსახურობს ტაძარში?	განა გონებაში დღევანდელი მსახურები არ წარმოიდგინეთ?
There are more than 120,000 ordinance workers in the 150 operating temples around the world. Yet there is opportunity for even more to have this sweet experience. When President Gordon B. Hinckley announced the concept of many smaller temples throughout the world, he taught that “all ordinance workers would be local people who would serve in other capacities in their wards and stakes.” Normally, workers are called to serve for two to three years, with the possibility of extending beyond. It is not intended that once you are called, you will stay as long as you are able. Many long-serving workers carry their love for the temple with them as they are released and allow other, new workers to serve.	მსოფლიოში 150 ოპერირებადი ტაძარში 120 000-ზე მეტი რწმუნებულის თანამშრომელია. თუმცა არსებობს შესაძლებლობა, რომ კიდევ უფრო მეტი ადამიანი მიიღოს ეს სასიამოვნო გამოცდილება. როდესაც პრეზიდენტმა გორდონ ბ. ჰინკლიმ მსოფლიოს მასშტაბით გამოაცხადა მრავალი უფრო პატარა ტაძრის კონცეფცია, მან ასწავლა, რომ ყველა რწმუნებულის თანამშრომელი იქნებოდა ადგილობრივი ხალხი, რომლებიც მსახურობდნენ სხვა თანამდებობებზე თავიანთ უბანებსა და ჯოხებში.	150 მოქმედ ტაძარში 120 000-ზე მეტი დამრიგებელი მუშაობს. თუმცა არსებობს შესაძლებლობა, რომ კიდევ უფრო მეტი ადამიანი მიიღოს ეს ტკბილი გამოცდილება. როდესაც პრეზიდენტმა გორდონ ბ. ჰინკლიმ მსოფლიოს მასშტაბით გამოაცხადა მრავალი უფრო პატარა ტაძრის კონცეფცია, მან ასწავლა, რომ მხოლოდ დამრიგებელი ადგილობრივი ადამიანები იყვნენ, რომლებიც თავიანთ უბანებსა და ჯოხეთებში სხვა თანამდებობებში მსახურობდნენ. ჩვეულებრივ, მუშებს მოუწოდებენ, გაემატრონ ორი-სამი წლის მოვალეობა, რომელთა გაგრძელების შესაძლებლობითაც შეუძლიათ. არ არის გათვალისწინებული, რომ მოწოდების შემდეგ, დარჩებით იმდენი ხნით, რამდენიც შეძლებთ. მრავალი დიდი ხნის განმავლობაში მსახურობილი მუშაკი ტაძრის სიყვარულს ტარებს მათთან ერთად, როცა ისინი გათავისუფლდებიან და საშუალებას აძლევენ სხვა, ახალ მუშაკებს, მსახურონ.	მთელს მსოფლიოში 150 მოქმედ ტაძარში 120 000-ზე მეტი ტაძრის მსახურია. და მაინც, არის იმის შესაძლებლობა, რომ უფრო მეტმა იქონიოს ეს ტკბილი გამოცდილება. როცა პრეზიდენტმა გორდონ ბ. ჰინკლიმ გამოაცხადა მრავალი მცირე ზომის ტაძრების კონცეფცია მთელს მსოფლიოში, მან თქვა, რომ „წეს-ჩვეულებების შემსრულებელი პირები უნდა იყვნენ ადგილობრივი ადამიანები, რომელნიც თავიანთ მრევლსა და პალოებში იმსახურებენ სხვა მოწოდებებშიც“16. წესით, მსახურები მოწოდებულნი არიან ორი ან სამი წლით, თუმცა ეძლევათ ვადის გაგრძელების საშუალება. სულაც არ ნიშნავს, რომ თუკი მოგიწვიეს ამ მოწოდებაზე, იმდენ ხანს იმსახურებ, რამდენსაც შეძლებ. მრავალი ხანგრძლივად მომსახურე ატარებს ტაძრის სიყვარულს მას შემდეგაც, რაც მას ათავისუფლებენ ამ მოწოდებიდან და ამ მსახურების შესაძლებლობებს სხვებს უთმობს.
Nearly 100 years ago, Apostle John A. Widtsoe taught: “We need more workers to accomplish [this] wonderful work. … We need more converts to temple work, drawn from all ages. … The time has come, … in this new temple movement, to bring into active service all the people, of all ages. … Temple work is … of as much benefit to the young and the active, as it is to the aged, who have laid behind them many of the burdens of life. The young man needs his place in the temple even more than his father and his grandfather, who are steadied by a life of experience; and the young girl just entering life, needs the spirit, influence and direction that come from participation in the temple ordinances.”	თითქმის 100 წლის წინ, მოციქული იოანე ა. ვიდცოუ ასწავლა: ამ საოცარი საქმეს შესასრულებლად მეტი მუშაკი გვჭირდება. ... ჩვენ გვჭირდება მეტი მონათხოვრული ტაძრის მუშაობისთვის, რომელიც ყველა ასაკიდან მოდის. ... დრო მოვიდა, ... ამ ახალ ტაძრის მოძრაობაში, ყველა ადამიანის აქტიური მსახურება მოახდინოს. ... ტაძრის მუშაობა ... იმდენადვე სასარგებლოა ახალგაზრდებისთვის და აქტიურებისთვის, როგორც მოხუცებისთვის, რომლებმაც უკან დადნეს ცხოვრების ბევრი ტვირთი. ახალგაზრდა მამაკაცს ტაძარში თავისი ადგილი სჭირდება უფრო მეტად, ვიდრე მამას და ბაბუას, რომლებიც გამოცდილებით ცხოვრებით არიან გათვლილი; ხოლო ახალგაზრდა გოგონას, რომელიც ახლავე შედის ცხოვრებაში, სჭირდება სული, გავლენა და ხელმძღვანელობა, რომელიც ტაძრის წესებში მონაწილეობის შედეგად მოდის.	თითქმის 100 წლის წინ, მოციქულმა ჯონ ა. ვიდცოუმ ასწავლა: ჩვენ გვჭირდება მეტი მუშაკი, რათა განვახორციელოთ ეს საოცარი საქმე. ... ჩვენ გვჭირდება მეტი მონორტი ტაძრის მუშაობაში, რომელიც მოჰყვა ყველა ასაკის ადამიანებს. ... დრო მოვიდა, ... ამ ახალ ტაძრის მოძრაობაში, ყველა ასაკის ადამიანები მოჰყვეს აქტიურ მსახურებაში. ... ტაძრის მუშაობა ... იმდენადვე სარგებლობს ახალგაზრდა და აქტიური ადამიანებისთვის, რამდენიც ხანდაზმულებისთვის, რომლებმაც უკან დატოვეს ცხოვრების მრავალი ტვირთი. ახალგაზრდა მამაკაცს ტაძარში თავისი ადგილი სჭირდება უფრო მეტად, ვიდრე მამას და ბაბუას, რომლებიც გამოცდილებით არიან გაძლიერებული; ახალგაზრდა გოგონას კი, რომელიც ახლახანს ცხოვრებას უწყობს, სულის, გავლენის და ხელმძღვანელობის სჭირდება, რომელიც ტაძრის წეს-ჩვეულებებში მონაწილეობის შედეგად მოდის	დაახლოებით 100 წლის წინ, მოციქული ჯონ ა. ვიდსოუ გვასწავლიდა: ამ შესანიშნავი სამუშაოს განსახორციელებლად მეტი შემსრულებელი გვჭირდება. … გვჭირდება მეტი მოქცეული სატაძრო სამუშაოსთვის, ყველა ასაკის. დადგა დრო, ტაძრების ამ ახალ მოძრაობაში?? აქტიურ მსხურებაში ჩავრთოთ ყველა ასაკის ადამიანი. … სატაძრო სამუშაო ახალგაზრდა და აქტიურთათვის ისეთივე სასარგებლოა, როგორიც ასაკოვანთათვის, რომლებმაც უკან მოიტოვეს ცხოვრების მრავალი ტვირთი. ახალგაზრდა ადამიანს უფრო მეტად ესაჭიროება ადგილი ტაძარში, ვიდრე მის მამასა და პაპას, რომლებიც დადინჯდნენ ცხოვრებისეული გამოცდილებით; ახალგაზრდა გოგო, რომელიც ახლა იწყებს ცხოვრებას, საჭიროებს სულისკვეთებას, გავლენასა და მიმართულებას, რაც მოდის სატაძრო წეს-ჩვეულებებში მონაწილეობიდან“. 17
In many temples, temple presidents are welcoming newly called and endowed missionaries, young men and women, to serve for just a short time as ordinance workers before going to the MTC. These young people are not only blessed to serve, but “they enhance the beauty and spirit for all serving in the temple.”	მრავალი ტაძარში, ტაძრის პრეზიდენტები მიესალმებიან ახალდაბირებულ და დაფინანსებულ მისონერებს, ახალგაზრდებს და ქალებს, რომ ისინი მოვალთ მხოლოდ მცირე ხნით, როგორც წესდების მუშები, სანამ მიდიან MTC- ში. ეს ახალგაზრდები არა მხოლოდ არიან გაკურთხილებულნი მსახურებისთვის, არამედ ისინი აძლიერებენ სილამაზეს და სულისკვეთებას ყველა იმისთვის, ვინც მსახურობს ტაძარში.	მრავალი ტაძარში ტაძრის პრეზიდენტები მიესალმებიან ახალ მოწოდებულ და დაფინანსებულ მისიონერებს, ახალგაზრდა ქალებსა და მამაკაცებს, რათა მოემსახურონ რიგითი მსახურების მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოვალეობის მოწყობის მოწყობისთვის.	მრავალ ტაძარში ტაძრის პრეზიდენტები იწვევენ ახლად მოწვეულ და შემოსილ მისიონერებს, ახალგაზრდა ქალებსა და ვაჟებს, მმც-ში წასვლამდე მოკლე ხნით მაინც მიიღონ მონაწილეობა წეს-ჩვეულებების ჩატარების პროცესში. ეს ახალგაზრდები არა მხოლოდ დალოცვილნი არიან მსახურებისთვის, არემედ „მეტი სილამაზე და სულისკვეთება შემოაქვთ ტაძარში ყოველი მსახურისთვის“. 18
I asked a number of young men and women who have served as ordinance workers before and after their missions to share their feelings. They used phrases like the following to describe their experience in the temple:	რამდენიმე ახალგაზრდა მამაკაცსა და ქალს, რომლებიც მსახურობდნენ რწმუნებულების სამსახურში მისიების წინ და შემდეგ, ვთხოვე, რომ თავიანთი გრძნობები გაეზიარებინათ.	მე ვკითხე რამდენიმე ახალგაზრდა მამაკაცსა და ქალს, რომლებიც მსახურობდნენ რადიონალობის სამსახურში მისიის წინ და შემდეგ, რომ გაეზიარებინათ თავიანთი გრძნობები. მათ გამოიყენეს შემდეგი ფრაზები, რათა აღწერონ თავიანთი გამოცდილება ტაძარში:	მე ვთხოვე მთელ რიგ ახალგაზრდა ქალებსა და მამაკაცებს, რომლებმაც მისიამდე და მისიის შემდეგ იმსახურეს ტაძარში, გაეზიარებინათ თავიანთი გრძნობები. ისინი ასეთი ფრაზებით ახასიათებდნენ ტაძარში მიღებულ გამოცდილებას:
When I serve in the temple—	როცა ტაძარში ვმსახურობ.	როცა მსახურობ ტაძარში	როცა ტაძარში ვმსახურობ
I feel “a sense of being closer to my Father and the Savior”;	ვგრძნობ, რომ უფრო ახლოს ვარ მამასთან და მაცხოვართან.	ვგრძნობ, რომ ჩემ მამასა და მხსნელს უფრო ვუახლოვდი.	„მამაზეციერსა და მხსნელს ვუახლოვდები“;
I feel “complete peace and happiness”;	ვგრძნობ მთელ მშვიდობასა და ბედნიერებას.	ვგრძნობ სრულ სიმშვიდესა და ბედნიერებას;	ვგრძნობ „სრულ სიმშვიდესა და ბედნიერებას“;
I have a feeling of “being home”;	ვგრძნობ, რომ სახლში ვარ.	ვგრძნობ, რომ ვბრუნდები სახლში;	სახლში ყოფნის გრძნობა მეუფლება;
I receive “sacredness, power, and strength”;	ვპვევარწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწწ	მე მივიღებ წმინდაობას, ძალას და ძალას;	ვიღებ “სიწმინდეს, ძალასა და სიძლიერეს”;
I feel “the importance of my sacred covenants”;	ვგრძნობ ჩემს წმინდა აღთქმების მნიშვნელობას.	ვგრძნობ ჩემს წმინდა აღთქმების მნიშვნელობას.	მე ვგრძნობ „ჩემი წმინდა აღთქმების მნიშვნელობას“;
“The temple has become a part of me”;	ტაძარი ჩემი ნაწილი გახდა.	თმპლი ჩემგან ნაწილი გახდა;	„ტაძარი ჩემი ცხოვრების ნაწილი გახდა“;
“Those whom we serve are close during the ordinances”;	ვინც ჩვენ ვემსახურებით, ახლოს არიან წესების დროს;	ვინც ვემსახურებით, ახლოს არიან წეს-ჩვეულებების დროს;	„ისინი, ვისაც ვემსახურებით, წეს-ჩვეულებების ცატარების დროს გვიახლოვდებიან“;
“It gives me the strength to overcome temptations”; and	ეს მაძლევს ძალას, რომ გამძლოყავი ცდუნებები; და	ეს მაძლევს ძალას, დამეძლოს ცდუნებები; და	„ეს მაძლევს ძალას, დავძლიო ცდუნება“; და
“The temple has changed my life forever.”	მკერდმა სამუდამოდ შეცვალა ჩემი ცხოვრება.	მკერდმა სამუდამოდ შეცვალა ჩემი ცხოვრება	„ტაძარმა ჩემი ცხოვრება სამუდამოდ შეცვალა“. 19
Serving in the temple is a rich and powerful experience for people of all ages. Even some newly married couples are serving together. President Nelson has taught, “Service in the temple … is a sublime activity for a family.” As ordinance workers, in addition to receiving ordinances for your ancestors, you can also officiate in ordinances for them.	ტაძარში მსახურება არის მდიდარი და ძლიერი გამოცდილება ყველა ასაკის ადამიანებისთვის. ზოგიერთი ახლადდაქორწინებული წყვილიც კი მსახურობს ერთად. პრეზიდენტმა ნელსონმა ასწავლა, რომ ტაძარში მსახურება ... ოჯახისთვის უშუალო საქმიანობაა. როგორც რწმუნებულთა მუშაკები, გარდა იმისა, რომ მიიღებთ რწმუნებულებებს თქვენი წინაპრებისათვის, შეგიძლიათ ასევე რწმუნებულობაც მათთვის.	ტაძარში მსახურება არის მდიდარი და ძლიერი გამოცდილება ნებისმიერი ასაკის ადამიანებისთვის. ზოგიერთი ახლადდაქორწინებული წყვილიც კი მსახურობს ერთად. პრეზიდენტმა ნელსონმა ასწავლა, რომ მასუფევება ტაძარში ... არის ოჯახისთვის უშუალო საქმიანობა. როგორც რადიონალური მუშაკები, გარდა იმისა, რომ მიიღებთ რადიონალებს თქვენი წინაპრებისათვის, თქვენ ასევე შეგიძლიათ რადიონალებში იმსახუროთ მათთვის.	ტაძარში მსახურება ყოველი ასაკის ადამიანისათვის მდიდარი და ძლიერი გამოცდილებაა. ზოგი ახალდაქორწინებული წყვილიც კი ერთად მსახურობს. პრეზიდენტი ნელსონი გვასწავლიდა: „ტაძარში მსახურება … ოჯახისთვის დიადი ღონისძიებაა“. 20 თქვენ, როგორც წეს-ჩვეულებების შემსრულებლებს, წინაპრებისთვის წეს-ჩვეულებების მიღების გარდა, შეგიძლიათ ჩაატაროთ  მათთვის წეს-ჩვეულებები.
As President Wilford Woodruff said:	როგორც პრეზიდენტმა უილფორდ უდრუფმა თქვა:	როგორც პრეზიდენტმა უილფორდ უდრუფმა თქვა:	როგორც პრეზიდენტმა უილფორდ ვუდროფმა ბრძანა:
“What greater calling can any man [or woman] have on the face of the earth than to hold in his [or her] hands power and authority to go forth and administer in the ordinances of salvation? …	რა უფრო დიდი მოწოდება შეიძლება ჰქონდეს კაცს დედამიწაზე, ვიდრე ძალა და ძალაუფლება, რომ გამოვიდეს და გადარჩენის წესებს დაასრულოს? ...	რა უფრო დიდი მოწოდება შეიძლება ჰქონდეს კაცს [ან ქალს] დედამიწაზე, ვიდრე ხელში ხელში ხელის მქონე ძალა და ძალა, რომ გამოვიდეს და განადგუროს ხსნის წესები? ...	„რა უნდა იყოს მამაკაცისთვის [ან ქალისთვის] იმაზე დიდი მოწოდება დედამიწაზე, ვიდრე ხელთ გქონდეს ძალა და უფლებამოსილება, განახორციელო ხსნის წეს-ჩვეულებანი? …
“… You become an instrument in the hands of God in the salvation of that soul. There is nothing given to the children of men that is equal to it.”	... შენ იქნები ღვთის ხელში ინსტრუმენტი ამ სულის გადარჩენაში. კაცთა შვილებს არაფერი მიეცა, რაც მასთან შედარებით.	... შენ იქნები ღვთის ხელში არსებული ინსტრუმენტი ამ სულის გადარჩენისთვის. კაცთა ძეებს არაფერი არ მიეცა, რაც მასთან შეესაბამებოდა.	„… ასეთი სულის ხსნაში თქვენ ღვთის იარაღად იქცევით. არაფერი სხვა ამის ტოლფასი არ მიეცა ადამიანთა შვილებს“. 21
He also said:	მან ასევე თქვა:	მან ასევე თქვა:	მან ასევე თქვა:
“The sweet whisperings of the Holy Spirit will be given to [you] and the treasures of Heaven, the communion of angels, will be added from time to time.”	სწმიდა სულის ტკბილი ჩურჩულები მოგცემთ და დროდადრო ზეცის საგანძურები, ანგელოზთა თანამგზავრობა, დაემატება.	სწმიდა სულის ტკბილი ჩურჩულები მოგცემთ და დროდადრო ზეციური საგანძურები, ანგელოზთა ზიარება, დაემატება.	„სულიწმინდის ტკბილი ჩურჩული მოგეცემათ და ზეციური საგანძური, ამას დროდადრო ანგელოზთა საუბარიც დაემატება. 22
“This is worth all you or I can sacrifice [during] the few years we have to spend here in the flesh.”	ეს ღირს ყველა თქვენ ან მე შემიძლია მსხვერპლი [წამების განმავლობაში] რამდენიმე წელი ჩვენ უნდა გაატაროთ აქ ხორცში.	ეს ღირს ყოველივე, რასაც მე ან თქვენ შეგვიძლია დავთმოთ იმ რამდენიმე წლის განმავლობაში, რაც ჩვენ აქ, ხორცში უნდა გავატაროთ.	„ამისთვის ღირს, რომ მე ან ყოველმა თქვენგანმა ხორციელად ყოფნისას მსხვერპლი გავიღოთ. 23
President Thomas S. Monson recently reminded us that “the blessings of the temple are priceless.” “No sacrifice is too great.”	პრეზიდენტმა თომას ს. მონსონმა ცოტა ხნის წინ გვახსენა, რომ ტაძრის ლოცვა ფასდაუდებელია.	პრეზიდენტმა თომას ს. მონსონმა ცოტა ხნის წინ მოგვახსენა, რომ მასაღლის კურთხევები ფასდაუდებელია არცერთი მსხვერპლი არ არის ზედმეტად დიდი.	პრეზიდენტმა თომას ს. მონსონმა ახლახან შეგვახსენა, რომ „ტაძრის კურთხევები ფასდაუდებელია“. 24 არც ერთი მსხვერპლი არ არის მეტისმეტად დიდი“. 25
Come to the temple. Come often. Come with and for your family. Come, and help others to come too.	წადი ტაძარში. ხშირად მოდი. მოდი, შენთან და შენს ოჯახთან. მოდი და სხვებსაც დავეხმარე, რომ მოვიდნენ.	წადი ტაძარში, ხშირად, წადი შენთან და შენს ოჯახთან. წადი და დახმარება გაუწიე სხვებს, რომ მოვიდნენ.	მოდით ტაძარში. ხშირად იარეთ. მოდით ოჯახთან ერთად და ოჯახის გულისთვის. მოდით და სხვებსაც დაეხმარეთ მოსვლაში.
“What are these which are arrayed in white?” My brothers and sisters, you are they—you who have received the ordinances of the temple, who have kept your covenants even by sacrifice; you who are helping your families find the blessings of temple service and who have helped others along the way. Thank you for your service. I testify that each temple is God’s holy, sacred house and that therein each of us may learn and know the powers of godliness, in the name of Jesus Christ, amen.	ვინ არიან ისინი, ვინც თეთრ ტანსაცმელში არიან ჩაცმულები? ჩემო ძმებო და ძმებო, თქვენ ხართ ისინი, ვინც მიიღეთ ტაძრის წესები, ვინც შეინარჩუნეთ თქვენი ხელშეკრულებები, თუნდაც მსხვერპლით; თქვენ, ვინც ეხმარებათ თქვენს ოჯახებს, რომ იპოვონ ტაძრის მსახურების ლოცვა და ვინც სხვებს დაეხმარა გზაში. მადლობა თქვენი მსახურებისთვის. მე გმირობ, რომ თითოეული ტაძარი არის ღვთის წმინდა, წმინდა სახლი და რომ მასში თითოეულმა ჩვენმა უნდა ვისწავლოთ და ვიცოდეთ ღვთისმსახურების ძალაუფლება, იესო ქრისტეს სახელით, ამენ.	ვინ არიან ისინი, ვინც თეთრ ტანსაცმელში არიან ჩაცმულნი? ჩემო დებო და ძმებო, თქვენ ხართ ისინი, რომლებმაც მიიღეს ტაძრის წეს-ჩვეულებები, შეინარჩუნეს თქვენი აღთქმები, თუნდაც მსხვერპლით; თქვენ, ვინც ეხმარებით თქვენს ოჯახებს, იპოვონ ტაძრის მსახურების კურთხევა და ვინც სხვებს დაეხმარათ გზაში. მადლობას გიხდით თქვენი მსახურებისთვის. მე ვმოწმობ, რომ ყოველი ტაძარი არის ღვთის წმინდა, წმინდა სახლი და რომ მასში თითოეულ ჩვენგანს შეუძლია ისწავლოს და იცოდეს ღვთისმოყვარეობის ძალა, იესო ქრისტეს სახელით, ამენ.	„ეს თეთრი სამოსლით შემოსილები ვინ არიან ან საიდან მოვიდნენ“? დებო და ძმებო, ესენი თქვენხართ! თქვენ, რომლებმაც მიიღეთ სატაძრო წეს-ჩვეულებები, რომლებმაც მსხვერპლის გაღების ხარჯზეც კი დაიცავით აღთქმები; თქვენ, რომელნიც ეხმარებით ოჯახებს სატაძრო მსახურებების დალოცვების პოვნაში და რომლებიც გზადაგზა სხვებს ეხმარებით. მადლობას გიხდით მსახურებისთვის. მე ვმოწმობ, რომ ყოველი ტაძარი ღმერთის წმინდა სახლია და რომ იქ ყოველ ჩვენგანს შეუძლია შეიტყოს და გაიგოს ღვთაების ძალა. იესო ქრისტეს სახელით, ამინ.
Before I begin, I should tell you that two of my children have passed out whilst speaking at pulpits, and I have never felt more connected to them than in this moment. I’ve got more on my mind than just the trapdoor.	სანამ დავიწყებ, უნდა გითხრათ, რომ ჩემი ორი შვილი გარდაიცვალა, როდესაც საჯაროზე საუბრობდა და მე არასდროს მიგრძნობია მათთან უფრო მეტი კავშირი, ვიდრე ამ მომენტში.	სანამ დავიწყებ, უნდა გითხრათ, რომ ორი ჩემი შვილი გარდაიცვალა, როცა კათედრებზე საუბრობდა და მე არასდროს არ მიგრძვნია, რომ მათთან უფრო მეტად მიმიკავშირდი, ვიდრე ამ მომენტში. ჩემს გონებაში უფრო მეტია, ვიდრე მხოლოდ კარიბჭე.	ვიდრე დავიწყებდე, უნდა გითხრათ, რომ ჩემს ორ შვილს გული წაუვიდა, როდესაც კათედრიდან საუბრობდნენ და არასოდეს მიგრძვნია მათთან იმაზე ძლიერი კავშირი, ვიდრე ამ მომენტში ვგრძნობ. მე ფარულ კარზე მეტი რამ მაქვს მომზადებული.
Our family has six children, who sometimes tease one another that they are the favourite child. Each has different reasons for being preferred. Our love for each of our children is pure and fulfilling and complete. We could not love any one of them any more than another—with each child’s birth came the most beautiful expansion of our love. I most relate to my Heavenly Father’s love for me through the love that I feel for my children.	ჩვენი ოჯახის ექვსი შვილია, რომლებიც ზოგჯერ ერთმანეთს აცინებენ, რომ ისინი საყვარელი ბავშვი არიან. თითოეულს აქვს სხვადასხვა მიზეზი, რომ უპირატესობა მიენიჭოს. ჩვენი სიყვარული თითოეული ჩვენი შვილის მიმართ არის სუფთა და სრულყოფილი და სრული. ჩვენ ვერ შევძლებთ, რომ რომელიმე მათგანი უფრო მეტად გვიყვარდეს, ვიდრე მეორე. თითოეული ბავშვის დაბადების შემდეგ ჩვენი სიყვარულის ყველაზე ლამაზი გაფართოება მოხდა. მე ყველაზე მეტად ვხასიათებ ჩემს სამოთხურ მამას სიყვარულს ჩემ მიმართ იმ სიყვარულის მეშვეობით, რომელსაც ვგრძნობ ჩემს შვილებს.	ჩვენს ოჯახში ექვსი შვილია, რომლებიც ზოგჯერ ერთმანეთს აცინებენ, რომ ისინი საყვარელი შვილები არიან. თითოეულ მათგანს აქვს სხვადასხვა მიზეზი, რატომაც ურჩევნიათ. ჩვენი სიყვარული თითოეული შვილის მიმართ სუფთაა, სავსეა და სრულყოფილი. ჩვენ ვერც ერთ მათგანს ვეღარ ვუყვარვართ ისევე, როგორც მეორეზე. ყოველი შვილის დაბადების შემდეგ ჩვენი სიყვარულის ყველაზე ლამაზი გაფართოება მოხდა. მე ყველაზე მეტად ჩემი მამაზეციერის სიყვარულს ვუკავშირდები იმ სიყვარულის მეშვეობით, რომელსაც ვგრძნობ ჩემს შვილებთან მიმართებაში.	ჩვენ გვყავს ექვსი შვილი და ისინი ერთმანეთს ხანდახან აბრაზებენ განცხადებებით, რომ ჩვენ კონკრეტულად ის გვიყვარს გამორჩეულად. თითოეულ მათგანს აქვს განსხვავებული მიზეზი, იყოს რჩეული. ჩვენი სიყვარული თითოეული ჩვენი შვილის მიმართ არის სუფთა, მაბედნიერებელი და სრული. შეუძლებელია, გვიყვარდეს რომელიმე მათგანი უფრო მეტად, ვიდრე მეორე — თითოეული მათგანის დაბადებამ ჩვენი სიყვარული კიდევ უფრო მეტად და მეტად გაზარდა. ზეციური მამის ჩემ მიმართ სიყვარული ყველაზე მეტად ჩემი შვილების მიმართ ჩემი სიყვარულის საშუალებით მესმის.
